[python_calc] | 2020-03-03 10:47:41,510 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:41,523 | DEBUG | > На расчёт 207 переменных ушло 0.013005
[python_calc] | 2020-03-03 10:47:41,537 | DEBUG | > На запись ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:47:42,372 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:42,382 | DEBUG | > На запись ушло 0.009001
[python_calc] | 2020-03-03 10:47:43,233 | DEBUG | > На расчёт 207 переменных ушло 0.012001
[python_calc] | 2020-03-03 10:47:43,242 | DEBUG | > На запись ушло 0.009
[python_calc] | 2020-03-03 10:47:44,471 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:44,483 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:44,493 | DEBUG | > На запись ушло 0.009007
[python_calc] | 2020-03-03 10:47:45,325 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:45,338 | DEBUG | > На расчёт 207 переменных ушло 0.014001
[python_calc] | 2020-03-03 10:47:45,349 | DEBUG | > На запись ушло 0.011002
[python_calc] | 2020-03-03 10:47:46,586 | DEBUG | > На расчёт 207 переменных ушло 0.013006
[python_calc] | 2020-03-03 10:47:46,599 | DEBUG | > На запись ушло 0.012983999999999999
[python_calc] | 2020-03-03 10:47:47,451 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:47,463 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:47:48,304 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:48,316 | DEBUG | > На запись ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:47:49,575 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:49,590 | DEBUG | > На запись ушло 0.013996
[python_calc] | 2020-03-03 10:47:50,440 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:50,449 | DEBUG | > На запись ушло 0.009002
[python_calc] | 2020-03-03 10:47:51,310 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:51,323 | DEBUG | > На запись ушло 0.013005
[python_calc] | 2020-03-03 10:47:52,527 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:52,540 | DEBUG | > На расчёт 207 переменных ушло 0.014001999999999999
[python_calc] | 2020-03-03 10:47:52,553 | DEBUG | > На запись ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:53,389 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:47:53,403 | DEBUG | > На запись ушло 0.014005
[python_calc] | 2020-03-03 10:47:54,669 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:54,685 | DEBUG | > На запись ушло 0.015002999999999999
[python_calc] | 2020-03-03 10:47:55,537 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:55,547 | DEBUG | > На запись ушло 0.009002
[python_calc] | 2020-03-03 10:47:56,375 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:56,388 | DEBUG | > На расчёт 207 переменных ушло 0.013002
